9.100267633583234783e+03,nan,6.278568414050792853e+03,5.161939959969249685e+03,4.114021081585320644e+03,3.377848257895247116e+03,4.492370254245273827e+03,5.445300725796669212e+03,6.133577716993135255e+03,4.135428126961127418e+03,3.446431562538141861e+03,3.006862166015590901e+03,2.692140747096093492e+03,2.460828642451970154e+03,2.296584275161768801e+03,4.531439781539279466e+03
8.912127998488502271e+03,7.390885050484725070e+03,6.026399164929063772e+03,4.887901725373363661e+03,3.867984606899524806e+03,2.978582332525835682e+03,3.844035554026927457e+03,4.754099805375294636e+03,5.792630317596021087e+03,5.643911218699137862e+03,4.020035148366360772e+03,3.332880507802087322e+03,2.928157603393134195e+03,2.637818898498175713e+03,2.433586687439537855e+03,3.888349573290346598e+03
8.731586365140323323e+03,7.206500691926197760e+03,5.859627648576142747e+03,4.728136495668301905e+03,3.662625846433804327e+03,2.748946911245880074e+03,3.257804527152922674e+03,4.099569844644479417e+03,5.034169719661038471e+03,6.172581999689721670e+03,5.386935165594936734e+03,4.011037634817764229e+03,3.372628173473652168e+03,2.989506859206603622e+03,2.751272279080467342e+03,3.274579324319398893e+03
8.610064035533978313e+03,7.146743460151155887e+03,5.735189725395650385e+03,4.568279965785999593e+03,3.515625349087844370e+03,2.528350272460711494e+03,2.670668600130589766e+03,3.532651013587365924e+03,nan,5.368856246206703872e+03,nan,5.357077996565485591e+03,4.124102226150893330e+03,3.572179857104581970e+03,3.221171846964196448e+03,2.736792250536695065e+03
8.490778976619039895e+03,7.004698562897638112e+03,5.636832029812963810e+03,4.443801543855424825e+03,3.356470275346174731e+03,2.297928688455082920e+03,2.115268689758253913e+03,2.959971543536465560e+03,3.760033023960276296e+03,4.641146064891338028e+03,6.771558553474615110e+03,7.187617043795721656e+03,5.429327828722082813e+03,4.360415476234903508e+03,3.860815313286952914e+03,2.163343918456443134e+03
8.444232099945224036e+03,6.911336366894601269e+03,5.556550764143392371e+03,4.407025935488602954e+03,3.246971632411485189e+03,3.630469753451998258e+03,5.363326162426104929e+03,7.568370440605061958e+03,3.133068341218639944e+03,4.062668079107432277e+03,5.109085994877446865e+03,6.500561020878237287e+03,7.569788486862375976e+03,5.622782965425328257e+03,4.704580472864835428e+03,1.631374439874061864e+03
8.431358490450647878e+03,6.852582463940176240e+03,5.509709502385750966e+03,4.272675145461871580e+03,3.090477575049750158e+03,nan,1.004339429364536954e+03,1.780721770063305257e+03,2.611853982345562144e+03,3.604711712194239681e+03,4.671501540149622997e+03,5.869139131714594441e+03,7.404030583741046030e+03,7.727582186504138917e+03,5.974950630032895788e+03,1.075849915788774524e+03
nan,6.853790695892130316e+03,5.459627909046648711e+03,4.198633541350902306e+03,3.003346042831904924e+03,1.765607893435875894e+03,3.768424439136206274e+02,1.374302879687703808e+03,2.522123174061748614e+03,3.539918621878743579e+03,4.421276543300928097e+03,5.477625822976854579e+03,6.784825738237729638e+03,8.237410021276951738e+03,7.984979957921919777e+03,4.141594509209891157e+02
nan,1.410132897439521912e+04,5.464741996372962603e+03,4.150601291010413661e+03,2.948995865375649373e+03,1.622598054603186029e+03,5.253167174999747431e+02,1.473046162618596782e+03,2.520568691344544277e+03,3.349430660762659045e+03,4.169568078810534644e+03,5.020928828107098525e+03,6.146941887810603475e+03,4.348350735878624619e+03,8.540807933900359785e+03,4.427469745749978642e+02
8.489891066931186288e+03,6.823249326439063225e+03,5.437288608611291238e+03,4.112506336421287415e+03,2.829197931557353058e+03,1.774614472245105844e+03,9.946980697187348142e+02,1.509322034070497011e+03,2.423126323066003806e+03,3.182139769149209314e+03,3.830468853200471585e+03,4.644004670650829212e+03,5.543313082702186875e+03,6.771558553474521432e+03,9.060565653853200274e+03,9.228805813800512396e+02
8.464621505018527387e+03,6.826506402608732969e+03,5.408402303300753374e+03,4.111866779577896523e+03,2.928746955456810610e+03,2.097786542384882068e+03,1.260491101238860892e+03,1.538258773108568221e+03,2.253649014300857289e+03,2.900433069772508134e+03,3.630469753451888209e+03,4.378089337296243684e+03,5.223217488862909704e+03,6.245145955493801011e+03,7.628308052638485606e+03,1.191781746257379837e+03
8.450252928692083515e+03,6.839343290203928518e+03,5.411129479864954192e+03,4.143805791996473090e+03,3.125404795544739954e+03,2.356795290277586901e+03,1.463712167543801570e+03,1.448155821765719338e+03,2.103352326028123116e+03,nan,3.463378841926399218e+03,4.208277579009947658e+03,5.012744917601035922e+03,5.942508170728776349e+03,7.003282113879462486e+03,1.363247774798548562e+03
8.471179773983760242e+03,6.884039473793077377e+03,5.427198235738786025e+03,4.262642163069083836e+03,3.354386502731991641e+03,2.487817241122866562e+03,1.539393689349364195e+03,1.340134350177167562e+03,2.017200337634196330e+03,2.679186184734788640e+03,3.370483808702623719e+03,4.082537566280042483e+03,4.815864085286668342e+03,5.666713880643061202e+03,6.632581884173298022e+03,1.505911960106828246e+03
8.576427631446953455e+03,6.876968003881465847e+03,5.485371163395773692e+03,4.379119352214791434e+03,3.492138806767921324e+03,2.575832238409769161e+03,1.584438926644251978e+03,1.295448196601358177e+03,1.986407806931095365e+03,2.627272649029222976e+03,3.334081610335818823e+03,3.990301371880204897e+03,4.707857635053564081e+03,5.489592909937171498e+03,7.678138571524716099e+03,1.506575919171092210e+03
8.523303069832079927e+03,6.896801683371663785e+03,5.564302189675571753e+03,4.464516517369406756e+03,3.560231841804768464e+03,2.665028705664507470e+03,1.623507702310973173e+03,1.287248751358512891e+03,1.942238626056883959e+03,2.606163862906889335e+03,3.253919361511912939e+03,3.921803965358874848e+03,4.623169720690229951e+03,nan,6.232073164095671018e+03,1.529907875574920126e+03
8.410458019993548078e+03,6.842839753447071416e+03,5.449393143562554542e+03,4.158283213879897630e+03,2.979867211131142540e+03,1.739503819231294983e+03,1.696466817403997425e+02,1.447010521486152584e+03,2.505136571283324884e+03,3.431966781630312198e+03,4.334893493870199563e+03,5.279860675148256632e+03,6.471807034215078602e+03,8.309155900095496690e+03,8.195206830205916049e+03,3.520441763608651809e-10
